scientific,english,common,Order,Family,ID,feeding guild,May,July,names.phylo
Pitangus sulphuratus,Great Kiskadee,Luis Bienteveo,,,PISU,IN,,x,Pitangus sulphuratus
Polioptila caerulea,Blue-grey Gnatcatcher,Perlita Azulgris,Passeriformes,Polioptilidae,POCA,IN,x,,Polioptila caerulea
Quiscalus mexicanus,Great-tailed Grackle,Zanate Mayor,,,QUIM,OM,,x,Quiscalus mexicanus
Rostrhamus sociabilis,Snail Kite,Gavilan Caracolero,,,ROSO,CA,,x,Rostrhamus sociabilis
Saltator atriceps,Black Headed Saltator,Picurero Cabeza Negra,Passeriformes,Incertae sedis,SAAT,IN,x,,Saltator atriceps
Saltator coerulescens,Greyish Saltator,Saltador Chucho Paez,,,SACO,IN,,x,Saltator coerulescens
Seiurus aurocapilla ,Ovenbird,Chipe Suelero,Passeriformes,Parulidae,SEAU,IN,x,,Seiurus aurocapilla
Setophaga americana,Northern Parula,Parula norteña,Passeriformes,Parulidae,SEAM,IN,x,,Setophaga americana
Setophaga citrina,Hooded Warbler,Chipe encapuchado,Passeriformes,Parulidae,SECI,IN,x,,Setophaga citrina
Setophaga dominica,Yellow Throated Warbler,Chipe Garganta Amarilla,Passeriformes,Parulidae,SEDO,IN,x,X,Setophaga dominica
Setophaga magnolia,Magnolia Warbler,Chipe de Magnolia,Passeriformes,Parulidae,SEMA,IN,x,,Setophaga magnolia
Thamnophilus doliatus,Barred Antshrike,Batará Barrado,Passeriformes,Thamnophilidae,THDO,IN,x,,Thamnophilus doliatus
Pheugopedius maculipectus,Spot Breasted Wren,Chivirín moteado,Passeriformes,Troglodytidae,PHMA,IN,x,,Thryothoruss maculipectus
Tiaris olivaceus,Yellow-faced Grassquit,Semillero Olivaceo,,,TIOL,IN,,x,Tiaris olivaceus
Tolmomyias sulphurescens,Yellow Olive Flycatcher,Mosquero Ojo Blanco,Passeriformes,Tyrannidae,TOSU,IN,x,,Tolmomyias sulphurescens
Trogon melanocephalus,Black Headed Trogon,Trogón Cabeza Negra,Trogoniformes,Trogonidae,TRME,FR,x,,Trogon melanocephalus
Turdus grayi,Clay Colored Thrush,Mirio Pardo,Passeriformes,Turdidae,TUGR,OM,x,,Turdus grayi
Tyrannus couchii,Couch's Kingbird,Tirano Silbador,Passeriformes,Tyrannidae,TYCO,IN,x,,Tyrannus couchii
Tyrannus melancholicus,Tropical Kingbird,Tirano Tropical,Passeriformes,Tyrannidae,TYME,IN,x,,Tyrannus melancholicus
Tyto alba,Barn Owl,Lechuza de Campanario,Strigiformes,Tytonidae,TYAL,CA,x,,Tyto alba
Uropsila leucogastra,White-bellied Wren,Saltapared Vientre Blanco,,,URLE,IN,,x,Uropsila leucogastra
Vermivora cyanoptera,Gold-winged Warbler,Chipe ala azul,Passeriformes,Parulidae,VECY,IN,x,,Vermivora
Vireo flavifrons,Yellow-throated Vireo,Vireo Garganta Amarilla,Passeriformes,Vireonidae,VIFL,IN,x,,Vireo flavifrons
Vireo griseus,White Eyed Vireo,Vireo Ojo Blanco,Passeriformes,Vireonidae,VIGR,IN,x,,Vireo griseus
Vireo pallens,Mangrove Vireo,Vireo Mangiero,Passeriformes,Vireonidae,VIPA,IN,x,,Vireo pallens
Zenaida asiatica,White Winged Dove,Palmoa Ala Blanca,Columbiformes,Columbidae,ZEAS,FR,x,,Zenaida asiatica
,UNKNOWN WARBLER,,,,CH X,IN,,x,
,UNKNWN HUMMINGBIRD,,,,HB X,NE,,x,
,UNKNOWN,,,,XX,X,,x,
,UNKNOWN FLYCATCHER,,,,FC X,IN,,x,
